Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Eenergy label,Position,Garden,Estimated neighbourhood price per m2
Zutphenseweg 111,Lochem,€ 695.000,23.050 m²,113 m²,1966,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,E,"Aan bosrand, aan drukke weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,340
Zandgolf 34,Eindhoven,€ 925.000,412 m²,230 m²,2003,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.940
Sandenburglaan 2,Helmond,€ 775.000,605 m²,231 m²,2009,Bestaande bouw,"Villa, vrijstaande woning",Schilddak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Tuin rondom,4.985
Lunterenstraat 53,Tilburg,€ 535.000,344 m²,153 m²,1994,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder met vliering,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.440
Dorpsstraat 14,Ellemeet,€ 349.000,291 m²,106 m²,1900,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In centrum,Achtertuin,260
Dorpsstraat 21,Zwartewaal,€ 549.500,210 m²,210 m²,1850,Bestaande bouw,"Herenhuis, tussenwoning",Schilddak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,C,In centrum,Achtertuin en voortuin,585
Sterappel 26,Tiel,€ 399.500,238 m²,153 m²,1991,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.765
Pijperhof 7,Raamsdonksveer,€ 945.000,1.187 m²,262 m²,1977,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Tuin rondom,6.515
Klapwijkseweg 51,Pijnacker,€ 639.000,342 m²,112 m²,1935,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan drukke weg, in centrum en vrij uitzicht","Achtertuin, voortuin en zijtuin",2.235
Herfst 73,Dronten,€ 525.000,547 m²,178 m²,1998,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan park en aan rustige weg,"Achtertuin, voortuin en zijtuin",985
